Indeks #;Aktywny (0 lub 1);Nazwa;ID reguły podatku;Cena bez podatku. (netto);Cena zawiera podatek. (brutto);Marka;Opis;Dostępne do zamówienia (0 = Nie, 1 = Tak);Ilość;Adresy URL zdjęcia (x,y,z...);Kategorie (x,y,z...);Przepisany URL
ARE-S-168;1;FILLUP Esencja do alkoholu PARON COGNAC - 500ml;1;9.35;11.50;Zaprawki do alkoholu esencje STRANDS;Aromatyczny likier koniakowo-gruszkowy. Esencja typu FILLUP –oznacza, że w butelce mamy już odmierzoną przez producenta ilość esencji a naszym zadaniem jest dopełnić butelkę alkoholem o określonej zawartości %. Zaletą esencji FILLUP jest to, że otrzymujemy już gotową butelkę z firmą etykietką, butelkę którą możemy bez wstydu postawić na stole. Esencje typu FILLUP są tak przygotowane, że nie musimy już dodawać cukru do zrobienia likieru czy półsłodkiej wódki, wszystko jest już dodane przez producenta. Kupując esencje FILLUP, dla większego bezpieczeństwa podczas wysyłki, zalecamy wybierać wysyłkę kurierem! Instrukcja:butelkę z likierem dopełnić wódką 45% (lub % wedle uznania). Wstrząsnąć do całkowitego rozpuszczenia się, odstawić na 24h i gotowe. Dłuższe „przegryzanie” się trunku poprawia jego smak. Esencje sprowadzane są ze Szwecji - producent firma STRANDS. Dają naprawdę znakomite rezultaty, przeważnie nie do rozpoznania dla zwykłego konsumenta. Wykorzystując nasze zaprawki, każdy z nas ma niepowtarzalną okazję spróbowania alkoholi z różnych stron Świata, oszczędzając dużo pieniędzy. Dzięki tym zaprawkom, każdy z nas ma także okazję na zebranie w swoim barku zestawu alkoholi jak w prawdziwym DRINK BARZE! Jeżeli chcesz się dowiedzieć więcej o zaprawkach do alkoholu, jak je mieszać, polecamy do zapoznania się z naszym artykułem: Zaprawki do alkoholu.;1;8;;22|3;fillup-esencja-do-alkoholu-paron-cognac-500ml
xxx-x-685;1;Brewkit Mangrove Jack’s – WORKINGMAN'S STOUT – 1,8kg Data 09-2025;1;29.27;36.00;Mangrove Jack's;Nachmielony ekstrakt słodowy do przygotowania 23L domowego piwa. EXPORT STOUT to klasyczne ciemne piwo. W zestawie drożdże suche Mangrove Jacks.Zawiera: glutenProducent: Mangrove Jack's, Nowa Zelandia Do przygotowania 23L domowego piwa należy użyć/dokupić dodatkowego surowca fermentującego wybierając jedną z poniższych opcji (surowce dostępne w ofercie sklepu): 1kg cukru lub glukozy – najtańszy i najsłabszy efekt końcowy piwa1,2kg Mangrove Jack’s enhancer– 100% płynny ekstrakt słodowy, wpływa na pełne odfermentowanie piwa i w znaczący sposób poprawia walory smakowe piwa (słodowy aromat) oraz trwałość pianki piwnej1,2kg lub 1,7kg płynnego ekstraktu słodowegoCOOBRA lub WES;1;1;;317|318|66|3;brewkit-mangrove-jack-s-workingman-s-stout-1-8kg-data-09-2025
ARE-Z-239;1;Odpieniacz do piwa 3/8'';1;178.86;220.00;-;;1;0;;97|3;odpieniacz-do-piwa-3-8
ARE-S-028;1;Aromat 25ml o smaku: Granada whisky style flavour;1;7.4;9.10;Zaprawki do alkoholu esencje STRANDS;Charakteryzuje się bogatym, złożonym smakiem, który łączy w sobie intensywne nuty dębu, wanilii i karmelu. Instrukcja:do butelki 750ml wlać zaprawkę i dopełnić wódką 40% (lub % wedle uznania). Wstrząsnąć, odstawić na 24h i gotowe. Dłuższe „przegryzanie” się trunku poprawia jego smak. Szanowni Klienci,w buteleczce z esencją mogą wyjątkowo czasami pojawiać się drobinki osadu. Producenci esencji dodają ekstraktu dębowego, który jak firma STRANDS sami produkują poprzez proces ekstrakcji. Otrzymują zawiesinę, którą filtrują. Ten proces czasami nie jest wystarczający i malutkie cząsteczki pyłu dębowego przepychają się przez filtr a potem kumulują się w większe widoczne aglomeraty. Serdecznie za to przepraszamy, producent stara się polepszyć proces filtracji. Natomiast nie można wykluczyć ekstraktu dębowego ze względów smakowych. W każdym razie nie jest to szkodliwe a gotowy alkohol można przefiltrować przez sączek filtracyjny, ewentualnie przez filtr do kawy.;1;9;;25|24|3;aromat-25ml-o-smaku-granada-whisky-style-flavour
ITA-L-455;1;Filtr BAZOOKA x4;1;107.32;132.00;-;Bazooka wykonana ze sprężyny do ułożenia na dnie fermentatora lub garnka zaciernego. 4 długości sprężyn filtrujących po 22-23cm Końcówka 3/4 cala.;1;8;;87|318|3;filtr-bazooka-x4
ARE-S-182;1;FILLUP Esencja do alkoholu Triple Sec - 500ml;1;9.35;11.50;Zaprawki do alkoholu esencje STRANDS;TripleSec to grupa słodko-gorzkich likierów pomarańczowych. Esencja typu FILLUP –oznacza, że w butelce 0,5L mamy już odmierzoną przez producenta ilość esencji a naszym zadaniem jest dopełnić butelkę alkoholem o określonej zawartości %. Zaletą esencji FILLUP jest to, że otrzymujemy już gotową butelkę z firmą etykietką, butelkę którą możemy bez wstydu postawić na stole. Esencje typu FILLUP są tak przygotowane, że nie musimy już dodawać cukru do zrobienia likieru czy półsłodkiej wódki, wszystko jest już dodane przez producenta. Kupując esencje FILLUP, dla większego bezpieczeństwa podczas wysyłki, zalecamy wybierać wysyłkę kurierem! Instrukcja:butelkę z likierem dopełnić wódką 60% (lub % wedle uznania). Wstrząsnąć do całkowitego rozpuszczenia się, odstawić na 24h i gotowe. Dłuższe „przegryzanie” się trunku poprawia jego smak. Esencje sprowadzane są ze Szwecji - producent firma STRANDS. Dają naprawdę znakomite rezultaty, przeważnie nie do rozpoznania dla zwykłego konsumenta. Wykorzystując nasze zaprawki, każdy z nas ma niepowtarzalną okazję spróbowania alkoholi z różnych stron Świata, oszczędzając dużo pieniędzy. Dzięki tym zaprawkom, każdy z nas ma także okazję na zebranie w swoim barku zestawu alkoholi jak w prawdziwym DRINK BARZE! Jeżeli chcesz się dowiedzieć więcej o zaprawkach do alkoholu, jak je mieszać, polecamy do zapoznania się z naszym artykułem: Zaprawki do alkoholu.;1;8;;22|3;fillup-esencja-do-alkoholu-triple-sec-500ml
ARO-E-234;1;Płatki dębowe EVO FR FRENCH BARREL 20g;1;2.01;2.47;-;French Barrel (High Vanilla)to specjalnie dobrana mieszanka płatków dębu francuskiego, poddana odpowiedniej obróbce termicznej, w celu uzyskania maksymalnego aromatu francuskiej beczki. Wyczuwalna lekka wanilia, owocowość, wzbogaca strukturę, treściwość wina, wzbogaca i wydłuża smak.Płatki nie są sztucznie aromatyzowane. Płatki są idealnym dodatkiem do każdego rodzaju alkoholu:wina, piwa, wódek, nalewek, miodów pitnych, etc… Poprawiają jego smak, stabilizują barwę, znacząco poprawiają smak alkoholu w procesie dojrzewania.Dawkowanie 1 do 3g / 1l trunku.Jednak każdorazowo dawka powinna być dobrana w procesie prób i testów, w celu znalezienia swojego idealnego smaku. Jedni zastosują mniej w przypadku delikatnych nalewek czy białych win owocowych a inni zastosują dużo większe dawki w przypadku mocnych piw typu Porter, RIS czy Stout, mocnych win czy intensywnych miodów pitnych. Jak przeprowadzić szybki test?Przygotuj kilka butelek do zlania swojego trunku. Do każdej butelki dodaj odpowiednio odmierzoną porcję płatków, z zachowanie proporcji ilości płatków/1l alkoholu np.: 4 butelki i do każdej z nich po kolei 1g, 2g, 3g, 4g płatków na 1l alkoholu. Napełnij butelki alkoholem i odstaw w chłodne miejsce (tam gdzie przechowujesz swoje trunki). Po okresie 1 miesiąca weź kartkę i przeprowadź degustację wszystkich butelek w jednym czasie, zapisz każde spostrzeżenie i wybierz tą najlepszą. Przeprowadź taką samą degustację wśród znajomych, niech oni też się wypowiedzą. W ten sposób dobierzesz najlepszą dawkę do swojego trunku.;1;3;;308|318|3;platki-debowe-evo-fr-french-barrel-20g
ARE-S-090;1;Aromat 25ml o smaku: Mississippi Whisky Shot style flavour;1;7.72;9.50;Zaprawki do alkoholu esencje STRANDS;Aromat ma bogaty, ciepły smak, w którym łączą się nuty karmelu i wanilii z subtelnym dymnym akcentem. Wyczuwalna jest przyjemna słodycz, przypominająca miód, która łagodnie przechodzi w delikatnie przyprawowy posmak. Likier ma aksamitną konsystencję, z nutami orzechów, które dodają głębi. Całość jest dobrze zrównoważona – słodka, ale z wyrazistym, lekko korzennym charakterem, co sprawia, że jest pełny i harmonijny. Instrukcja:do butelki 750ml wsypać 105g miałkiego cukru lub glukozy, wlać zaprawkę i dopełnić wódką 40% (lub % wedle uznania). Wstrząsnąć do całkowitego rozpuszczenia się cukru, odstawić na 24h i gotowe. Dłuższe „przegryzanie” się trunku poprawia jego smak. Szanowni Klienci,w buteleczce z esencją mogą wyjątkowo czasami pojawiać się drobinki osadu. Producenci esencji dodają ekstraktu dębowego, który jak firma STRANDS sami produkują poprzez proces ekstrakcji. Otrzymują zawiesinę, którą filtrują. Ten proces czasami nie jest wystarczający i malutkie cząsteczki pyłu dębowego przepychają się przez filtr a potem kumulują się w większe widoczne aglomeraty. Serdecznie za to przepraszamy, producent stara się polepszyć proces filtracji. Natomiast nie można wykluczyć ekstraktu dębowego ze względów smakowych. W każdym razie nie jest to szkodliwe a gotowy alkohol można przefiltrować przez sączek filtracyjny, ewentualnie przez filtr do kawy.;1;6;;35|24|3;aromat-25ml-o-smaku-mississippi-whisky-shot-style-flavour
DAR-Y-007;1;Żeń-szeniówka;1;46.34;57.00;Producent;Żeń-szeniówka 20-30g Nalewka z żeń-szenia zalecana szczególnie osobom wyczerpany pracą fizyczną, umysłową lub z osłabioną odpornością. Nalewka żeń-szeniówka wzmacnia i podnosi odporność organizmu, wzmacnia pamięć i koncentrację (pomocna przed egzaminami, zaległymi pracami biurowymi wydolność fizycznymi). Zwiększa wydolność fizyczna i umysłową, ma działanie odmładzające organizm, pomaga również zwalczyć stres i łagodzi jego skutki. Zawiera ginsenozydy oraz wiele cennych związków mineralnych. Nalewka o smaku korzennym, kolor słomkowy, aromat specyficzny. Pić lampkę ok. 20-30ml raz dziennie, rano. Kuracja jednorazowa nie powinna trwać dłużej niż 3 miesiące. Zawartość opakowania zalać 2l alkoholu (wódki), odstawić w ciepłe miejsce. Po 14 dniach gotowa do stosowania, po zużyciu można zalać ponownie.;1;1;;39|3;zen-szeniowka
ARE-S-165;1;FILLUP Esencja do alkoholu WARTGAS - 500ml;1;9.35;11.50;Zaprawki do alkoholu esencje STRANDS;Aromatyczny likier żurawinowy. Esencja typu FILLUP –oznacza, że w butelce 0,5 L mamy już odmierzoną przez producenta ilość esencji a naszym zadaniem jest dopełnić butelkę alkoholem o określonej zawartości %. Zaletą esencji FILLUP jest to, że otrzymujemy już gotową butelkę z firmą etykietką, butelkę którą możemy bez wstydu postawić na stole. Esencje typu FILLUP są tak przygotowane, że nie musimy już dodawać cukru do zrobienia likieru czy półsłodkiej wódki, wszystko jest już dodane przez producenta. Kupując esencje FILLUP, dla większego bezpieczeństwa podczas wysyłki, zalecamy wybierać wysyłkę kurierem! Instrukcja:butelkę z likierem dopełnić wódką 40% (lub % wedle uznania). Wstrząsnąć do całkowitego rozpuszczenia się, odstawić na 24h i gotowe. Dłuższe „przegryzanie” się trunku poprawia jego smak. Esencje sprowadzane są ze Szwecji - producent firma STRANDS. Dają naprawdę znakomite rezultaty, przeważnie nie do rozpoznania dla zwykłego konsumenta. Wykorzystując nasze zaprawki, każdy z nas ma niepowtarzalną okazję spróbowania alkoholi z różnych stron Świata, oszczędzając dużo pieniędzy. Dzięki tym zaprawkom, każdy z nas ma także okazję na zebranie w swoim barku zestawu alkoholi jak w prawdziwym DRINK BARZE! Jeżeli chcesz się dowiedzieć więcej o zaprawkach do alkoholu, jak je mieszać, polecamy do zapoznania się z naszym artykułem: Zaprawki do alkoholu.;1;10;;22|3;fillup-esencja-do-alkoholu-wartgas-500ml
XXX-X-686;1;Nonne Noir JERRY (białe, mocne) Data 15-12-25r;1;107.32;132.00;Koncentraty winne;Typ: Nonne Noir JERRY – białe, mocne Zestaw do domowej fermentacji, wyprodukowany w Szwecji przez firmę CBF DRINKIT AB zawiera:5L skoncentrowanego soku winogronowego oraz torebki oznaczone symbolem:„E” –aktywne drożdże,„H” –stabilizator (E224, E202), oraz w poszczególnych typach:„J” – zol krzemowy i „K” – żelatyna w płynie, (saszetki do klarowania „J” i „K” tylko w zestawach białego lekkiego, Jerry w zestawie nie zawiera środków klarujących).Buteleczka z aromatem wiśniowym tylko do zestawu wiśniowego.Zioła w zestawie na Vermont. Do przygotowania nastawu niezbędne jest następujące wyposażenie dodatkowe:środek czyszczący np. VWP lub OXIOne, pojemnik fermentacyjny 30L, korek i rurka fermentacyjna, rurka do obciągu wina, butelki na wino, cukromierz, termometr, dodatkowy pojemnik do zlania wina znad osadu, korki i korkownica. W fazie dojrzewania warto dodać płatków dębowychw celu uzyskania lepszego smaku i aromatu, w ilości około 1-2g na 1 litr gotowego trunku przeznaczonego na dojrzewanie. Płatki dębowe nadają wyjątkowego charakteru, sprawiają, że alkohole mają bardziej złożony smak, stabilizują kolor - tak jak alkohole leżakujące w beczkach dębowych. Dostępne mamypłatki dębowe francuskie,płatki dębowe amerykańskieipłatki z drzew owocowych.;1;8;;317|318|175|3;nonne-noir-jerry-biale-mocne-data-15-12-25r
SPO-Ż-002;1;Glukoza / Dextroza  1kg;1;11.38;14.00;-;Dodatek glukozy w produkcjipiwa domowego,wina domowegoczy zastosowany docukrówek:;1;4;;81|12|3;glukoza-dextroza-1kg
ARE-S-001;1;Rurka fermentacyjna DUPLEX 1;1;38.01;46.75;Producent;DUPLEX 1 rurka fermentacyjna dedykowana do pojemników fermentacyjnych 60-120L objętości.;1;3;;318|187|3;rurka-fermentacyjna-duplex-1
ARE-S-244_hurt;1;HURT 25szt- Drożdże turbo do łączenia Coobra 6;1;167.99;206.63;Coobra;HURT 25szt. Drożdże turbo do łączenia Coobra 6 Drożdże COOBRA 6 - Potężna Moc dla Dużych Nastawów Drożdże COOBRA 6 to specjalnie opracowana mieszanka, która dostarcza potężnej mocy fermentacji nawet dla dużych łączonych nastawów o objętości do 1000 litrów. Ta zaawansowana formuła zapewnia nie tylko skuteczne i wydajne procesy fermentacji, ale również zapobiega przegrzewaniu się nastawu, co mogłoby negatywnie wpłynąć na działanie drożdży. Zalety drożdży COOBRA 6: Wyjątkowa efektywność:Specjalnie dobrana kompozycja drożdży COOBRA 6 zapewnia wyjątkową efektywność dla dużych nastawów, pozwalając na osiągnięcie pożądanej zawartości alkoholu w krótkim czasie. Optymalna ilość paczek:Oferta zawiera opakowanie z 25 sztukami drożdży COOBRA 6, które idealnie odpowiadają na różne wielkości nastawów. Według tabeli na opakowaniu, jedna paczka jest wystarczająca dla 25-litrowego nastawu z 6 kg cukru, a dla 200-litrowego nastawu potrzebujemy 8 paczek (łącznie 48 kg cukru). W przypadku 500-litrowego nastawu konieczne będą 15 paczek (łącznie 120 kg cukru). Łatwa i prosta instrukcja:Przygotowanie nastawu z drożdżami COOBRA 6 jest proste i intuicyjne. Wystarczy rozpuścić odpowiednią ilość cukru w wodzie, zgodnie z danymi zawartymi w tabeli na opakowaniu. Przy optymalnej temperaturze, czas fermentacji wynosi zaledwie 2-3 dni. Wspomagające składniki:Opakowanie zawiera 90g netto składników, w tym drożdże, pożywkę, witaminy i mikroelementy. Te cenne składniki wspierają i dostarczają optymalnych warunków dla drożdży podczas procesu fermentacji. Drożdże COOBRA 6 zostały wyprodukowane w Anglii, co gwarantuje wysoką jakość i profesjonalizm. To doskonały wybór dla entuzjastów domowej produkcji napojów alkoholowych, którzy chcą osiągnąć imponujące rezultaty w fermentacji dużych nastawów. Ciesz się mocą i wydajnością tych drożdży, tworząc swoje własne wyjątkowe napoje, które spełnią Twoje oczekiwania pod względem jakości i smaku.;1;5;;4;hurt-25szt-drozdze-turbo-do-laczenia-coobra-6
ARE-S-227_hurt;1;HURT 25szt- Drożdże gorzelnicze turbo Coobra Basic T3;1;125.51;154.38;Coobra;"HURT 25szt. Drożdże gorzelnicze turbo Coobra Basic T3 Drożdże Gorzelnicze Turbo Coobra Basic T3 - Wydajność, Czysty Smak i Przystępna Cena w Ekonomicznym Opakowaniu Ekonomiczne opakowanie zawierające 25 paczek drożdży Coobra Basic T3 to oferta, na którą warto zwrócić uwagę. Wyprodukowane w Wielkiej Brytanii, drożdże te łączą w sobie wysoką skuteczność fermentacji, ""czystszy smak"" i atrakcyjną cenę. Drożdże gorzelnicze Coobra Basic T3 są dedykowane do fermentacji nastawów cukrowych, glukozowych i owocowych. To wysokiej jakości drożdże, które gwarantują szybkie i efektywne wytwarzanie alkoholu o wysokiej zawartości procentowej. Ich zaawansowana formuła oparta na najnowszych technologiach produkcji sprawia, że są wydajne i stabilne w procesie fermentacji, jednocześnie pozostając przystępne cenowo. Cechuje je krótki czas fermentacji oraz wysoka tolerancja na obecność alkoholu, co czyni je doskonałym wyborem dla amatorskich producentów, którzy pragną osiągnąć profesjonalne rezultaty w warunkach domowych. Coobra Basic T3 jest łatwa w użyciu, a dostępność w wygodnych opakowaniach ułatwia pracę. Dlaczego warto wybrać drożdże Coobra Basic T3? Linia Basic łączy cenę z jakością, oferując drożdże wysokoaktywne do produkcji alkoholu z różnych surowców, takich jak woda i cukier, soki owocowe oraz zacier zbożowy. Charakteryzują się szybkim tempem fermentacji i wysoką wydajnością wytwarzania alkoholu. Wspomagają proces klarowania, co przekłada się na uzyskanie wyższej jakości produktu. Dzięki specjalnym składnikom odżywczym, drożdże Coobra Basic T3 pozwalają na uzyskanie dobrej jakości alkoholu. Dla 6 kg cukru czas fermentacji wynosi 2-3 dni, a zawartość alkoholu przekracza 14%. Dla 7 kg cukru czas fermentacji wynosi 4-5 dni, a zawartość alkoholu osiąga 16%. Optymalny zakres temperatury fermentacji to 25-30°C, co pozwala łączyć drożdże w duże nastawy oraz stosować do nastawów owocowych i zbożowych. Nastaw z dodatkiem owoców: Jeśli planujesz przygotować nastaw z dodatkiem owoców, po umyciu i rozdrobnieniu należy je dodać po rozpuszczeniu cukru. Następnie dopełnij fermentator wodą do 25L, tak aby temperatura ustabilizowała się w przedziale 25-30°C. Następnie wsyp zawartość saszetki do nastawu i dokładnie wymieszaj. W przypadku nastawów łączonych (cukrowo-owocowych) nie przekraczaj dawki 5 kg cukru na 25L nastawu. Drożdże Coobra Basic T3 to doskonały wybór dla każdego, kto pragnie uzyskać wydajne i jakościowe alkohole o wyjątkowym smaku i aromacie w domowych warunkach. Znak COOBRA to gwarancja sprawdzonej jakości, a nowoczesna formuła tych drożdży zapewnia ich niezawodność i wydajność. Wybierz to ekonomiczne opakowanie, aby cieszyć się z produkcji wysokiej jakości alkoholi w przystępnej cenie. Skład:Opakowanie zawiera 25 paczek o wadze netto 90g, zawierających drożdże, pożywkę i mikroelementy. Instrukcja jest prosta - rozpuścić wybraną ilość cukru w gorącej wodzie, dopełnić fermentator do 25L ciepłą wodą, a następnie wsypać zawartość saszetki z drożdżami i dokładnie wymieszać. Czas fermentacji zależy od wielu czynników, takich jak temperatura, jakość cukru i skład nastawu.";1;3;;4;hurt-25szt-drozdze-gorzelnicze-turbo-coobra-basic-t3
